#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBf,Mdns,Dots,Econ,Ave,SR,Hat-trick,4W,5W,Wides,Nb
1,Naveen R Sripathi,Samudhra Gladiators,14,14,53.0,300,30,34/ 5,4,185,5.66,10.00,10.6,0,2,1,22,0
2,Harshad Patil,Samudhra Gladiators,15,13,37.4,207,26,19/ 5,2,134,5.50,7.96,8.7,1,1,2,34,2
3,Vinit Bharadwaj,Samudhra Gladiators,12,12,41.0,219,22,14/ 5,0,144,5.34,9.95,11.2,1,1,2,28,1
4,Ankur Chaturvedi,Samudhra Gladiators,12,12,42.3,214,19,10/ 3,4,160,5.04,11.26,13.4,0,0,0,22,4
5,sandeep shetty,Samudhra Gladiators,15,14,25.3,160,14,20/ 4,1,85,6.27,11.43,10.9,0,1,0,14,0
6,Suraj Pai Madhukar,Samudhra Gladiators,6,8,16.0,84,10,2/ 2,0,52,5.25,8.40,9.6,0,0,0,8,2
7,Sushil Golecha,Samudhra Gladiators,2,2,3.0,24,2,14/ 2,0,7,8.00,12.00,9.0,0,0,0,1,0
8,Dileep Reddy,Samudhra Gladiators,7,2,4.0,31,1,13/ 1,0,12,7.75,31.00,24.0,0,0,0,0,0
9,Sandheep Sridar,Samudhra Gladiators,1,1,1.0,9,0,9/ 0,0,2,9.00,0,0.0,0,0,0,0,0
