19414,NJ Titans,Krunal Chheda,c Vikas S b Manik V,0,4,0,0,0.00
19414,NJ Titans,Keval Morakhia,c Vikas S b Manik V,5,10,0,0,50.00
19414,NJ Titans,Uchit Sheth †,b Rajeev K,0,2,0,0,0.00
19414,NJ Titans,Yashwant Rao,c Revanth P b Abhishek D,19,10,4,0,190.00
19414,NJ Titans,Malav Shah,c Shravan p b Abhishek D,7,12,1,0,58.33
19414,NJ Titans,Darsh Ajmera*,b Revanth P,22,22,3,0,100.00
19414,NJ Titans,Sourav Poddar,c †Pieush S b Abhishek D,1,4,0,0,25.00
19414,NJ Titans,Nirav Pathak,c †Pieush S b Rajeev K,26,22,0,2,118.18
19414,NJ Titans,Nimesh R,b Abhishek D,0,5,0,0,0.00
19414,NJ Titans,Jinay Shah,run out (Abhishek D),1,3,0,0,33.33
19414,NJ Titans,Mitul Shah,not out,0,0,0,0,0.00
19414,Pmcc,Pieush Saktawat,c&b Yashwant R,16,15,0,1,106.67
19414,Pmcc,Vikas Sastry,c Krunal C b Yashwant R,1,2,0,0,50.00
19414,Pmcc,Jay Mehta,c Malav S b Darsh A,2,5,0,0,40.00
19414,Pmcc,Jaskirat Sodhi*,run out (Nirav P),20,21,2,1,95.24
19414,Pmcc,Satish Ranganathan,c Nirav P b Darsh A,4,3,1,0,133.33
19414,Pmcc,Abhishek Dutta,c Malav S b Yashwant R,1,7,0,0,14.29
19414,Pmcc,Shravan Panguluri,c Krunal C b Sourav P,11,14,0,1,78.57
19414,Pmcc,Revanth Pakyala,b Nirav P,0,3,0,0,0.00
19414,Pmcc,Manik Virmani,c&b Darsh A,9,9,1,0,100.00
19414,Pmcc,Amar Srivastava,not out,1,1,0,0,100.00
19414,Pmcc,Rajeev Kumar,c Krunal C b Darsh A,3,3,0,0,100.00
19417,Vikings CC,Daya Chow,run out (Jithu J/Nithin V),22,18,3,1,122.22
19417,Vikings CC,Anudeep D,b Nithin V,3,8,0,0,37.50
19417,Vikings CC,Anvesh Reddy Donapati* †,c †Prabha O b Jithu J,11,15,1,0,73.33
19417,Vikings CC,Sai Kumar Cherukuri,c John Rose J b Mathew J,18,11,3,0,163.64
19417,Vikings CC,Vishwateja B,c&b Jithin V,0,2,0,0,0.00
19417,Vikings CC,Sunil Gudapati,c †Prabha O b Jithin V,0,1,0,0,0.00
19417,Vikings CC,Srikanth Kataram,c Jithin V b Mathew J,2,4,0,0,50.00
19417,Vikings CC,Mahindra Chowdary Yeddanapalli,b Jithin V,0,2,0,0,0.00
19417,Vikings CC,Raj Tiguti,b Jithin V,6,11,1,0,54.55
19417,Vikings CC,Nanje Gowda,b Mathew J,1,10,0,0,10.00
19417,Vikings CC,Ajith Nalluri,not out,12,7,1,1,171.43
19417,Staten Island Strikers,Nithin Varughese,c Sunil G b Nanje G,0,2,0,0,0.00
19417,Staten Island Strikers,Nithin Eapen Andrews,b Nanje G,0,3,0,0,0.00
19417,Staten Island Strikers,Mathew James,c Anudeep D b Raj T,16,19,1,1,84.21
19417,Staten Island Strikers,Jithu Job,c Ajith N b Vishwateja B,3,12,0,0,25.00
19417,Staten Island Strikers,Basil Jose*,c †Anvesh Reddy D b Sunil G,4,8,0,0,50.00
19417,Staten Island Strikers,John Rose Joseph,run out (Sunil G),6,3,1,0,200.00
19417,Staten Island Strikers,Eldo B,c Daya C b Nanje G,0,4,0,0,0.00
19417,Staten Island Strikers,Alphin John,c †Anvesh Reddy D b Raj T,16,16,1,1,100.00
19417,Staten Island Strikers,Jithin Varghese,c Sunil G b Vishwateja B,4,8,0,0,50.00
19417,Staten Island Strikers,Jithin Varghese,c Raj T b Nanje G,0,2,0,0,0.00
19417,Staten Island Strikers,Prabha Oommen †,not out,7,7,0,1,100.00
19431,Jersey City Dominators,Aman Deshmukh,run out (Lakshmikanth C),2,3,0,0,66.67
19431,Jersey City Dominators,Priyash Nagarkar*,c Anil P b Ishwar G,10,20,1,0,50.00
19431,Jersey City Dominators,Shoaib Kalawant,c Chaitanya B b Elayaraja M,3,9,0,0,33.33
19431,Jersey City Dominators,Sunit Shirke,c †Anil P b Chaitanya B,9,9,0,1,100.00
19431,Jersey City Dominators,Pushkar Mayur Dhume,b Elayaraja M,1,8,0,0,12.50
19431,Jersey City Dominators,Gautam Ahuja,c †Lakshmikanth C b Elayaraja M,5,9,0,0,55.56
19431,Jersey City Dominators,Shubh Bhardwaj,not out,51,28,2,5,182.14
19431,Jersey City Dominators,Yash Bandekar,c †Ishwar G b Anil P,0,2,0,0,0.00
19431,Jersey City Dominators,Dhruv Chamaria,c †Lakshmikanth C b Chaitanya B,8,5,0,1,160.00
19431,Jersey City Dominators,Eshan Venugopal,not out,9,5,0,1,180.00
